"[[169.41388161]
 [ 23.43391708]
 [271.0883747 ]]","[[-0.13779016]
 [ 0.36501752]
 [-3.08319021]]"
"[[172.05746789]
 [ 10.7803541 ]
 [343.79941488]]","[[-0.79589911]
 [ 0.71592618]
 [-2.88921715]]"
"[[169.40089281]
 [ 22.01554015]
 [283.20058439]]","[[-0.33343383]
 [ 0.35768285]
 [-3.05821184]]"
"[[161.22973248]
 [ 22.40116186]
 [267.56202777]]","[[-0.59064102]
 [ 0.12603233]
 [-3.0153338 ]]"
"[[173.19300685]
 [  2.74610214]
 [402.52423104]]","[[ 0.52919963]
 [ 0.22104882]
 [-3.08472153]]"
"[[172.12529521]
 [ 20.32510329]
 [304.41986441]]","[[-0.44939521]
 [ 0.62314805]
 [-3.00200586]]"
"[[176.53371676]
 [ 15.66200183]
 [330.03334527]]","[[-0.32476537]
 [ 0.65127748]
 [-3.01992789]]"
"[[160.66478872]
 [ 25.32522472]
 [256.9157834 ]]","[[-0.56651904]
 [ 0.21331445]
 [-3.01908787]]"
"[[168.95326121]
 [ 19.14077673]
 [311.46822833]]","[[-0.66317554]
 [ 0.63274529]
 [-2.94802365]]"
"[[158.04230941]
 [ 13.30373984]
 [278.58002136]]","[[-0.81242126]
 [-0.30877082]
 [-2.92206736]]"
