[1679683042.6152973][802743][Stabilizer]: {'stateEstimateZ.x': -3177, 'stateEstimateZ.y': -101, 'stateEstimateZ.z': 112, 'stabilizer.roll': -5.056427001953125, 'stabilizer.pitch': -70.3305892944336, 'stabilizer.yaw': -3.4526376724243164}
[1679683042.625485][802753][Stabilizer]: {'stateEstimateZ.x': -3221, 'stateEstimateZ.y': -103, 'stateEstimateZ.z': 107, 'stabilizer.roll': -5.036085605621338, 'stabilizer.pitch': -70.2596664428711, 'stabilizer.yaw': -3.43609881401062}
[1679683042.6353312][802763][Stabilizer]: {'stateEstimateZ.x': -3247, 'stateEstimateZ.y': -104, 'stateEstimateZ.z': 105, 'stabilizer.roll': -5.163544654846191, 'stabilizer.pitch': -70.69073486328125, 'stabilizer.yaw': -3.5590479373931885}
[1679683042.6443222][802773][Stabilizer]: {'stateEstimateZ.x': -3300, 'stateEstimateZ.y': -105, 'stateEstimateZ.z': 113, 'stabilizer.roll': -5.237553119659424, 'stabilizer.pitch': -70.9011001586914, 'stabilizer.yaw': -3.6334798336029053}
[1679683042.6548662][802783][Stabilizer]: {'stateEstimateZ.x': -3329, 'stateEstimateZ.y': -104, 'stateEstimateZ.z': 110, 'stabilizer.roll': -5.397646427154541, 'stabilizer.pitch': -71.2186279296875, 'stabilizer.yaw': -3.80114483833313}
[1679683042.6644928][802793][Stabilizer]: {'stateEstimateZ.x': -3369, 'stateEstimateZ.y': -109, 'stateEstimateZ.z': 106, 'stabilizer.roll': -5.304035186767578, 'stabilizer.pitch': -71.26022338867188, 'stabilizer.yaw': -3.6861300468444824}
[1679683042.6746335][802803][Stabilizer]: {'stateEstimateZ.x': -3408, 'stateEstimateZ.y': -107, 'stateEstimateZ.z': 102, 'stabilizer.roll': -5.430548667907715, 'stabilizer.pitch': -71.30574035644531, 'stabilizer.yaw': -3.8318519592285156}
[1679683042.6837869][802813][Stabilizer]: {'stateEstimateZ.x': -3449, 'stateEstimateZ.y': -112, 'stateEstimateZ.z': 99, 'stabilizer.roll': -5.334909915924072, 'stabilizer.pitch': -71.34414672851562, 'stabilizer.yaw': -3.7118332386016846}
[1679683042.6945586][802823][Stabilizer]: {'stateEstimateZ.x': -3500, 'stateEstimateZ.y': -110, 'stateEstimateZ.z': 109, 'stabilizer.roll': -5.578373432159424, 'stabilizer.pitch': -71.72589111328125, 'stabilizer.yaw': -3.9732134342193604}
[1679683042.7055902][802833][Stabilizer]: {'stateEstimateZ.x': -3540, 'stateEstimateZ.y': -111, 'stateEstimateZ.z': 105, 'stabilizer.roll': -5.598628997802734, 'stabilizer.pitch': -71.77070617675781, 'stabilizer.yaw': -3.9909582138061523}
[1679683042.7153819][802843][Stabilizer]: {'stateEstimateZ.x': -3585, 'stateEstimateZ.y': -112, 'stateEstimateZ.z': 101, 'stabilizer.roll': -5.586733341217041, 'stabilizer.pitch': -71.70162963867188, 'stabilizer.yaw': -3.9796841144561768}
[1679683042.7252972][802853][Stabilizer]: {'stateEstimateZ.x': -3618, 'stateEstimateZ.y': -121, 'stateEstimateZ.z': 99, 'stabilizer.roll': -5.486778736114502, 'stabilizer.pitch': -72.0643081665039, 'stabilizer.yaw': -3.8234965801239014}
[1679683042.734633][802863][Stabilizer]: {'stateEstimateZ.x': -3670, 'stateEstimateZ.y': -123, 'stateEstimateZ.z': 105, 'stabilizer.roll': -5.562226295471191, 'stabilizer.pitch': -72.2482681274414, 'stabilizer.yaw': -3.8958945274353027}
[1679683042.744795][802873][Stabilizer]: {'stateEstimateZ.x': -3699, 'stateEstimateZ.y': -117, 'stateEstimateZ.z': 102, 'stabilizer.roll': -5.893008708953857, 'stabilizer.pitch': -72.55117797851562, 'stabilizer.yaw': -4.266317367553711}
[1679683042.754838][802883][Stabilizer]: {'stateEstimateZ.x': -3740, 'stateEstimateZ.y': -119, 'stateEstimateZ.z': 99, 'stabilizer.roll': -5.886384963989258, 'stabilizer.pitch': -72.58220672607422, 'stabilizer.yaw': -4.252552032470703}
[1679683042.7651784][802893][Stabilizer]: {'stateEstimateZ.x': -3786, 'stateEstimateZ.y': -121, 'stateEstimateZ.z': 95, 'stabilizer.roll': -5.879368305206299, 'stabilizer.pitch': -72.51322174072266, 'stabilizer.yaw': -4.245576858520508}
[1679683042.7739797][802903][Stabilizer]: {'stateEstimateZ.x': -3817, 'stateEstimateZ.y': -122, 'stateEstimateZ.z': 92, 'stabilizer.roll': -5.987930774688721, 'stabilizer.pitch': -72.78605651855469, 'stabilizer.yaw': -4.348180770874023}
[1679683042.7845485][802913][Stabilizer]: {'stateEstimateZ.x': -3867, 'stateEstimateZ.y': -124, 'stateEstimateZ.z': 99, 'stabilizer.roll': -6.124789237976074, 'stabilizer.pitch': -73.10536193847656, 'stabilizer.yaw': -4.47979211807251}
[1679683042.7942567][802923][Stabilizer]: {'stateEstimateZ.x': -3913, 'stateEstimateZ.y': -125, 'stateEstimateZ.z': 96, 'stabilizer.roll': -6.125682353973389, 'stabilizer.pitch': -73.03337097167969, 'stabilizer.yaw': -4.48412561416626}
[1679683042.8050184][802933][Stabilizer]: {'stateEstimateZ.x': -3944, 'stateEstimateZ.y': -127, 'stateEstimateZ.z': 93, 'stabilizer.roll': -6.24153470993042, 'stabilizer.pitch': -73.28499603271484, 'stabilizer.yaw': -4.595362663269043}
[1679683042.8149056][802943][Stabilizer]: {'stateEstimateZ.x': -3991, 'stateEstimateZ.y': -128, 'stateEstimateZ.z': 89, 'stabilizer.roll': -6.234251499176025, 'stabilizer.pitch': -73.21656799316406, 'stabilizer.yaw': -4.589890480041504}
[1679683042.8244393][802953][Stabilizer]: {'stateEstimateZ.x': -4044, 'stateEstimateZ.y': -130, 'stateEstimateZ.z': 98, 'stabilizer.roll': -6.360433101654053, 'stabilizer.pitch': -73.48094177246094, 'stabilizer.yaw': -4.710238456726074}
[1679683042.835061][802963][Stabilizer]: {'stateEstimateZ.x': -4059, 'stateEstimateZ.y': -128, 'stateEstimateZ.z': 97, 'stabilizer.roll': -6.69648551940918, 'stabilizer.pitch': -74.0672607421875, 'stabilizer.yaw': -5.0514631271362305}
[1679683042.844809][802973][Stabilizer]: {'stateEstimateZ.x': -4102, 'stateEstimateZ.y': -130, 'stateEstimateZ.z': 94, 'stabilizer.roll': -6.708569049835205, 'stabilizer.pitch': -74.05619049072266, 'stabilizer.yaw': -5.068289279937744}
[1679683042.8543935][802983][Stabilizer]: {'stateEstimateZ.x': -4148, 'stateEstimateZ.y': -131, 'stateEstimateZ.z': 90, 'stabilizer.roll': -6.706580638885498, 'stabilizer.pitch': -73.9833755493164, 'stabilizer.yaw': -5.070094585418701}
[1679683042.8651128][802993][Stabilizer]: {'stateEstimateZ.x': -4182, 'stateEstimateZ.y': -131, 'stateEstimateZ.z': 87, 'stabilizer.roll': -6.87774133682251, 'stabilizer.pitch': -74.19107818603516, 'stabilizer.yaw': -5.247342109680176}
[1679683042.8750381][803003][Stabilizer]: {'stateEstimateZ.x': -4236, 'stateEstimateZ.y': -133, 'stateEstimateZ.z': 93, 'stabilizer.roll': -6.993417263031006, 'stabilizer.pitch': -74.3752212524414, 'stabilizer.yaw': -5.352424621582031}
[1679683042.8851445][803013][Stabilizer]: {'stateEstimateZ.x': -4283, 'stateEstimateZ.y': -134, 'stateEstimateZ.z': 90, 'stabilizer.roll': -6.990914344787598, 'stabilizer.pitch': -74.30303192138672, 'stabilizer.yaw': -5.349034309387207}
[1679683042.8956032][803023][Stabilizer]: {'stateEstimateZ.x': -4304, 'stateEstimateZ.y': -136, 'stateEstimateZ.z': 88, 'stabilizer.roll': -7.206580638885498, 'stabilizer.pitch': -74.75374603271484, 'stabilizer.yaw': -5.548669338226318}
[1679683042.904628][803033][Stabilizer]: {'stateEstimateZ.x': -4351, 'stateEstimateZ.y': -138, 'stateEstimateZ.z': 84, 'stabilizer.roll': -7.210028171539307, 'stabilizer.pitch': -74.67882537841797, 'stabilizer.yaw': -5.553748607635498}
[1679683042.9138925][803043][Stabilizer]: {'stateEstimateZ.x': -4404, 'stateEstimateZ.y': -140, 'stateEstimateZ.z': 90, 'stabilizer.roll': -7.3167619705200195, 'stabilizer.pitch': -74.84642791748047, 'stabilizer.yaw': -5.649303436279297}
[1679683042.9248788][803053][Stabilizer]: {'stateEstimateZ.x': -4451, 'stateEstimateZ.y': -142, 'stateEstimateZ.z': 86, 'stabilizer.roll': -7.319756031036377, 'stabilizer.pitch': -74.77233123779297, 'stabilizer.yaw': -5.656744956970215}
[1679683042.935147][803063][Stabilizer]: {'stateEstimateZ.x': -4499, 'stateEstimateZ.y': -143, 'stateEstimateZ.z': 83, 'stabilizer.roll': -7.317111015319824, 'stabilizer.pitch': -74.69842529296875, 'stabilizer.yaw': -5.6592512130737305}
[1679683042.9461107][803073][Stabilizer]: {'stateEstimateZ.x': -4547, 'stateEstimateZ.y': -145, 'stateEstimateZ.z': 79, 'stabilizer.roll': -7.310394763946533, 'stabilizer.pitch': -74.62222290039062, 'stabilizer.yaw': -5.659828186035156}
[1679683042.9572163][803083][Stabilizer]: {'stateEstimateZ.x': -4507, 'stateEstimateZ.y': -149, 'stateEstimateZ.z': 82, 'stabilizer.roll': -8.088935852050781, 'stabilizer.pitch': -76.25005340576172, 'stabilizer.yaw': -6.380135536193848}
[1679683042.9649541][803093][Stabilizer]: {'stateEstimateZ.x': -4559, 'stateEstimateZ.y': -151, 'stateEstimateZ.z': 83, 'stabilizer.roll': -8.13918685913086, 'stabilizer.pitch': -76.27153015136719, 'stabilizer.yaw': -6.431507110595703}
[1679683042.9773653][803103][Stabilizer]: {'stateEstimateZ.x': -4605, 'stateEstimateZ.y': -153, 'stateEstimateZ.z': 79, 'stabilizer.roll': -8.137704849243164, 'stabilizer.pitch': -76.19428253173828, 'stabilizer.yaw': -6.4335503578186035}
[1679683042.9852958][803113][Stabilizer]: {'stateEstimateZ.x': -4652, 'stateEstimateZ.y': -154, 'stateEstimateZ.z': 76, 'stabilizer.roll': -8.139451026916504, 'stabilizer.pitch': -76.11565399169922, 'stabilizer.yaw': -6.437283992767334}
[1679683042.9951115][803123][Stabilizer]: {'stateEstimateZ.x': -4672, 'stateEstimateZ.y': -155, 'stateEstimateZ.z': 74, 'stabilizer.roll': -8.432910919189453, 'stabilizer.pitch': -76.52149963378906, 'stabilizer.yaw': -6.719415664672852}
[1679683043.0064619][803133][Stabilizer]: {'stateEstimateZ.x': -4725, 'stateEstimateZ.y': -157, 'stateEstimateZ.z': 79, 'stabilizer.roll': -8.606561660766602, 'stabilizer.pitch': -76.69337463378906, 'stabilizer.yaw': -6.883200645446777}
[1679683043.0148616][803143][Stabilizer]: {'stateEstimateZ.x': -4770, 'stateEstimateZ.y': -158, 'stateEstimateZ.z': 76, 'stabilizer.roll': -8.640082359313965, 'stabilizer.pitch': -76.64411926269531, 'stabilizer.yaw': -6.920528411865234}
[1679683043.025011][803153][Stabilizer]: {'stateEstimateZ.x': -4817, 'stateEstimateZ.y': -160, 'stateEstimateZ.z': 72, 'stabilizer.roll': -8.634516716003418, 'stabilizer.pitch': -76.56649780273438, 'stabilizer.yaw': -6.916996002197266}
