[1677845232.4723177][1233750][Stabilizer]: {'stabilizer.roll': -0.330780953168869, 'stabilizer.pitch': -0.741733729839325, 'stabilizer.yaw': 0.06277121603488922, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.4820063][1233760][Stabilizer]: {'stabilizer.roll': -0.2950473427772522, 'stabilizer.pitch': -0.7675119042396545, 'stabilizer.yaw': 0.06130688264966011, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.4917507][1233770][Stabilizer]: {'stabilizer.roll': -0.32010897994041443, 'stabilizer.pitch': -0.7686751484870911, 'stabilizer.yaw': 0.061996497213840485, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.5049336][1233780][Stabilizer]: {'stabilizer.roll': -0.31911998987197876, 'stabilizer.pitch': -0.7419822812080383, 'stabilizer.yaw': 0.06425995379686356, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.5119505][1233790][Stabilizer]: {'stabilizer.roll': -0.3355453908443451, 'stabilizer.pitch': -0.6922752261161804, 'stabilizer.yaw': 0.06751014292240143, 'stateEstimateZ.x': -357, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.5220442][1233800][Stabilizer]: {'stabilizer.roll': -0.359435111284256, 'stabilizer.pitch': -0.7114789485931396, 'stabilizer.yaw': 0.06770756095647812, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.5321026][1233810][Stabilizer]: {'stabilizer.roll': -0.2795031666755676, 'stabilizer.pitch': -0.7735186815261841, 'stabilizer.yaw': 0.06329106539487839, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 14}
[1677845232.5425148][1233820][Stabilizer]: {'stabilizer.roll': -0.35658422112464905, 'stabilizer.pitch': -0.7217497825622559, 'stabilizer.yaw': 0.06830301880836487, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845232.5516307][1233830][Stabilizer]: {'stabilizer.roll': -0.35592928528785706, 'stabilizer.pitch': -0.7205381989479065, 'stabilizer.yaw': 0.0687914788722992, 'stateEstimateZ.x': -357, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845232.56288][1233840][Stabilizer]: {'stabilizer.roll': -0.35292890667915344, 'stabilizer.pitch': -0.706011176109314, 'stabilizer.yaw': 0.06957235187292099, 'stateEstimateZ.x': -357, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
